"CustomerKey","GeographyKey","CustomerAlternateKey","Title","FirstName","MiddleName","LastName","NameStyle","BirthDate","MaritalStatus","Suffix","Gender","EmailAddress","YearlyIncome","TotalChildren","NumberChildrenAtHome","EnglishEducation","SpanishEducation","FrenchEducation","EnglishOccupation","SpanishOccupation","FrenchOccupation","HouseOwnerFlag","NumberCarsOwned","AddressLine1","AddressLine2","Phone","DateFirstPurchase","CommuteDistance"
"11044","25","AW00011044","","Adam","L","Flores","0","1954-11-21","M","","M","adam10@adventure-works.com","20000.0000","2","1","Partial High School","Educación secundaria (en curso)","Niveau bac","Clerical","Administrativo","Employé","1","2","6935 Candle Dr","","1 (11) 500 555-0163","2011-02-28","1-2 Miles"
"11045","8","AW00011045","","Leonard","G","Nara","0","1955-11-16","S","","M","leonard18@adventure-works.com","30000.0000","3","0","High School","Educación secundaria","Bac + 2","Skilled Manual","Obrero especializado","Technicien","0","2","7466 La Vista Ave.","","1 (11) 500 555-0151","2013-04-10","1-2 Miles"
"11046","6","AW00011046","","Christine","","Yuan","0","1955-09-19","M","","F","christine4@adventure-works.com","30000.0000","3","0","High School","Educación secundaria","Bac + 2","Skilled Manual","Obrero especializado","Technicien","1","2","2356 Orange St","","1 (11) 500 555-0113","2011-02-06","5-10 Miles"
"11047","34","AW00011047","","Jaclyn","D","Lu","0","1955-08-27","M","","F","jaclyn12@adventure-works.com","30000.0000","3","0","High School","Educación secundaria","Bac + 2","Skilled Manual","Obrero especializado","Technicien","0","2","2812 Mazatlan","","1 (11) 500 555-0137","2011-02-03","1-2 Miles"
"11048","39","AW00011048","","Jeremy","","Powell","0","1956-05-21","M","","M","jeremy26@adventure-works.com","30000.0000","3","0","High School","Educación secundaria","Bac + 2","Skilled Manual","Obrero especializado","Technicien","1","2","1803 Potomac Dr.","","1 (11) 500 555-0183","2011-02-10","5-10 Miles"
"11049","307","AW00011049","","Carol","C","Rai","0","1986-01-15","S","","F","carol8@adventure-works.com","40000.0000","0","0","Partial High School","Educación secundaria (en curso)","Niveau bac","Clerical","Administrativo","Employé","1","2","6064 Madrid","","654-555-0180","2013-03-09","5-10 Miles"
"11050","31","AW00011050","","Alan","","Zheng","0","1957-03-06","M","","M","alan23@adventure-works.com","30000.0000","3","0","High School","Educación secundaria","Bac + 2","Skilled Manual","Obrero especializado","Technicien","1","2","2741 Gainborough Dr.","","1 (11) 500 555-0135","2011-02-20","5-10 Miles"
"11051","21","AW00011051","","Daniel","","Johnson","0","1957-01-31","S","","M","daniel18@adventure-works.com","30000.0000","3","0","High School","Educación secundaria","Bac + 2","Skilled Manual","Obrero especializado","Technicien","0","2","8085 Sunnyvale Avenue","","1 (11) 500 555-0155","2013-12-29","1-2 Miles"
"11052","8","AW00011052","","Heidi","","Lopez","0","1957-02-03","S","","F","heidi19@adventure-works.com","40000.0000","2","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé","0","2","2514 Via Cordona","","1 (11) 500 555-0168","2011-02-17","5-10 Miles"
"11053","359","AW00011053","","Ana","E","Price","0","1986-02-17","M","","F","ana0@adventure-works.com","60000.0000","0","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual","Obrero especializado","Technicien","0","2","1660 Stonyhill Circle","","859-555-0113","2013-01-17","1-2 Miles"
"11054","34","AW00011054","","Deanna","","Munoz","0","1957-09-07","M","","F","deanna33@adventure-works.com","40000.0000","2","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual","Obrero especializado","Technicien","1","2","5825 B Way","","1 (11) 500 555-0192","2011-02-03","5-10 Miles"
"11055","22","AW00011055","","Gilbert","","Raje","0","1957-09-02","M","","M","gilbert35@adventure-works.com","40000.0000","2","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual","Obrero especializado","Technicien","1","2","8811 The Trees Dr.","","1 (11) 500 555-0129","2011-01-31","5-10 Miles"
"11056","10","AW00011056","","Michele","L","Nath","0","1958-10-01","M","","F","michele19@adventure-works.com","40000.0000","3","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual","Obrero especializado","Technicien","1","2","5464 Janin Pl.","","1 (11) 500 555-0178","2011-02-26","5-10 Miles"
"11057","5","AW00011057","","Carl","J","Andersen","0","1970-04-07","M","","M","carl12@adventure-works.com","70000.0000","2","0","Graduate Degree","Estudios de postgrado","Bac + 3","Management","Gestión","Direction","1","2","6930 Lake Nadine Place","","1 (11) 500 555-0181","2011-02-22","1-2 Miles"
"11058","29","AW00011058","","Marc","","Diaz","0","1965-04-23","M","","M","marc6@adventure-works.com","80000.0000","2","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual","Obrero especializado","Technicien","1","2","6645 Sinaloa","","1 (11) 500 555-0149","2011-03-09","1-2 Miles"
"11059","27","AW00011059","","Ashlee","J","Andersen","0","1959-09-29","S","","F","ashlee19@adventure-works.com","80000.0000","2","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual","Obrero especializado","Technicien","1","2","8255 Highland Road","","1 (11) 500 555-0112","2013-02-18","5-10 Miles"
"11060","40","AW00011060","","Jon","L","Zhou","0","1959-09-14","M","","M","jon28@adventure-works.com","80000.0000","2","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual","Obrero especializado","Technicien","1","2","6574 Hemlock Ave.","","1 (11) 500 555-0174","2011-03-19","5-10 Miles"
"11061","23","AW00011061","","Todd","M","Gao","0","1976-02-20","M","","M","todd14@adventure-works.com","80000.0000","2","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual","Obrero especializado","Technicien","1","2","8808 Geneva Ave","","1 (11) 500 555-0191","2011-03-13","5-10 Miles"
"11062","547","AW00011062","","Noah","D","Powell","0","1981-03-01","M","","M","noah5@adventure-works.com","40000.0000","0","0","High School","Educación secundaria","Bac + 2","Skilled Manual","Obrero especializado","Technicien","1","2","9794 Marion Ct","","767-555-0113","2013-01-07","5-10 Miles"
"11063","634","AW00011063","","Angela","","Murphy","0","1980-10-04","S","","F","angela41@adventure-works.com","40000.0000","0","0","High School","Educación secundaria","Bac + 2","Skilled Manual","Obrero especializado","Technicien","1","2","4927 Virgil Street","# 21","451-555-0162","2013-01-12","5-10 Miles"
"11064","315","AW00011064","","Chase","","Reed","0","1981-06-05","M","","M","chase21@adventure-works.com","40000.0000","0","0","High School","Educación secundaria","Bac + 2","Skilled Manual","Obrero especializado","Technicien","1","2","2721 Alexander Pl.","","892-555-0184","2013-01-25","5-10 Miles"
"11065","331","AW00011065","","Jessica","","Henderson","0","1979-04-08","M","","F","jessica29@adventure-works.com","60000.0000","0","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual","Obrero especializado","Technicien","0","2","9343 Ironwood Way","","278-555-0186","2013-02-10","1-2 Miles"
"11066","543","AW00011066","","Grace","T","Butler","0","1979-05-27","M","","F","grace62@adventure-works.com","70000.0000","0","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Professional","Profesional","Cadre","1","2","4739 Garden Ave.","","712-555-0141","2013-05-31","5-10 Miles"
"11067","632","AW00011067","","Caleb","F","Carter","0","1982-03-25","S","","M","caleb40@adventure-works.com","60000.0000","0","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Professional","Profesional","Cadre","1","2","9563 Pennsylvania Blvd.","","944-555-0167","2013-08-18","5-10 Miles"
"11068","40","AW00011068","","Tiffany","","Liang","0","1966-09-19","S","","F","tiffany17@adventure-works.com","80000.0000","2","0","High School","Educación secundaria","Bac + 2","Skilled Manual","Obrero especializado","Technicien","1","2","3608 Sinclair Avenue","# 701","1 (11) 500 555-0177","2013-04-30","5-10 Miles"
"11069","23","AW00011069","","Carolyn","","Navarro","0","1966-09-17","S","","F","carolyn30@adventure-works.com","80000.0000","2","0","High School","Educación secundaria","Bac + 2","Skilled Manual","Obrero especializado","Technicien","0","2","4606 Springwood Court","","1 (11) 500 555-0145","2011-04-17","1-2 Miles"
"11070","39","AW00011070","","Willie","T","Raji","0","1960-10-02","M","","M","willie40@adventure-works.com","80000.0000","2","0","High School","Educación secundaria","Bac + 2","Skilled Manual","Obrero especializado","Technicien","1","2","6260 Vernal Drive","","1 (11) 500 555-0151","2011-04-28","5-10 Miles"
"11071","24","AW00011071","","Linda","","Serrano","0","1960-12-23","S","","F","linda31@adventure-works.com","80000.0000","2","0","High School","Educación secundaria","Bac + 2","Skilled Manual","Obrero especializado","Technicien","1","2","9808 Shaw Rd.","","1 (11) 500 555-0130","2013-03-01","5-10 Miles"
"11072","17","AW00011072","","Casey","","Luo","0","1960-08-05","S","","F","casey6@adventure-works.com","80000.0000","2","0","High School","Educación secundaria","Bac + 2","Skilled Manual","Obrero especializado","Technicien","0","2","9513 Roslyn Drive","","1 (11) 500 555-0125","2011-03-31","1-2 Miles"
"11073","16","AW00011073","","Amy","","Ye","0","1962-02-11","S","","F","amy16@adventure-works.com","70000.0000","2","0","High School","Educación secundaria","Bac + 2","Skilled Manual","Obrero especializado","Technicien","1","2","2262 Kirkwood Ct.","","1 (11) 500 555-0185","2013-03-23","5-10 Miles"
"11074","28","AW00011074","","Levi","A","Arun","0","1962-02-25","S","","M","levi6@adventure-works.com","70000.0000","2","0","High School","Educación secundaria","Bac + 2","Skilled Manual","Obrero especializado","Technicien","1","2","4661 Bluetail","","1 (11) 500 555-0127","2013-03-23","5-10 Miles"
"11075","32","AW00011075","","Felicia","L","Jimenez","0","1963-05-16","S","","F","felicia4@adventure-works.com","80000.0000","2","0","High School","Educación secundaria","Bac + 2","Professional","Profesional","Cadre","1","2","786 Eastgate Ave","","1 (11) 500 555-0165","2011-04-28","5-10 Miles"
"11076","19","AW00011076","","Blake","","Anderson","0","1963-01-10","S","","M","blake9@adventure-works.com","80000.0000","2","0","High School","Educación secundaria","Bac + 2","Professional","Profesional","Cadre","1","2","5436 Clear","# 101","1 (11) 500 555-0113","2011-04-21","5-10 Miles"
"11077","36","AW00011077","","Leah","","Ye","0","1963-03-19","S","","F","leah7@adventure-works.com","80000.0000","2","0","High School","Educación secundaria","Bac + 2","Professional","Profesional","Cadre","0","2","1291 Arguello Blvd.","","1 (11) 500 555-0154","2011-04-15","1-2 Miles"
"11078","49","AW00011078","","Gina","E","Martin","0","1985-01-06","S","","F","gina1@adventure-works.com","40000.0000","0","0","High School","Educación secundaria","Bac + 2","Professional","Profesional","Cadre","0","2","1349 Sol St.","","196-555-0114","2013-02-15","1-2 Miles"
"11079","34","AW00011079","","Donald","","Gonzalez","0","1970-03-07","S","","M","donald20@adventure-works.com","160000.0000","0","0","Graduate Degree","Estudios de postgrado","Bac + 3","Management","Gestión","Direction","1","2","4236 Malibu Place","","1 (11) 500 555-0137","2013-03-15","0-1 Miles"
"11080","30","AW00011080","","Damien","","Chander","0","1965-01-13","M","","M","damien32@adventure-works.com","170000.0000","0","0","Graduate Degree","Estudios de postgrado","Bac + 3","Management","Gestión","Direction","1","2","9941 Stonehedge Dr.","","1 (11) 500 555-0111","2011-04-10","0-1 Miles"
"11081","311","AW00011081","","Savannah","C","Baker","0","1972-01-21","M","","F","savannah39@adventure-works.com","120000.0000","2","2","Bachelors","Licenciatura","Bac + 4","Management","Gestión","Direction","1","3","1210 Trafalgar Circle","","478-555-0117","2013-02-12","2-5 Miles"
"11082","322","AW00011082","","Angela","L","Butler","0","1972-02-01","S","","F","angela17@adventure-works.com","130000.0000","0","1","Graduate Degree","Estudios de postgrado","Bac + 3","Management","Gestión","Direction","0","3","6040 Listing Ct","","579-555-0195","2013-01-22","1-2 Miles"
"11083","336","AW00011083","","Alyssa","F","Cox","0","1977-03-11","M","","F","alyssa37@adventure-works.com","130000.0000","0","1","Graduate Degree","Estudios de postgrado","Bac + 3","Management","Gestión","Direction","1","3","867 La Orinda Place","","561-555-0140","2013-01-06","1-2 Miles"
"11084","543","AW00011084","","Lucas","","Phillips","0","1963-03-12","S","","M","lucas7@adventure-works.com","80000.0000","2","0","Partial High School","Educación secundaria (en curso)","Niveau bac","Skilled Manual","Obrero especializado","Technicien","0","2","8668 St. Celestine Court","","863-555-0172","2013-01-04","1-2 Miles"
"11085","345","AW00011085","","Emily","","Johnson","0","1963-01-16","S","","F","emily1@adventure-works.com","60000.0000","2","0","High School","Educación secundaria","Bac + 2","Professional","Profesional","Cadre","0","2","7926 Stephanie Way","","850-555-0184","2013-12-06","5-10 Miles"
"11086","369","AW00011086","","Ryan","","Brown","0","1963-06-22","M","","M","ryan43@adventure-works.com","70000.0000","2","1","Partial College","Estudios universitarios (en curso)","Baccalauréat","Professional","Profesional","Cadre","1","0","2939 Wesley Ct.","","539-555-0198","2013-07-02","0-1 Miles"
"11087","307","AW00011087","","Tamara","L","Liang","0","1963-04-02","M","","F","tamara6@adventure-works.com","70000.0000","3","2","Partial College","Estudios universitarios (en curso)","Baccalauréat","Professional","Profesional","Cadre","0","0","3791 Rossmor Parkway","","178-555-0152","2013-02-25","0-1 Miles"
"11088","359","AW00011088","","Hunter","","Davis","0","1963-05-25","M","","M","hunter64@adventure-works.com","80000.0000","2","1","Bachelors","Licenciatura","Bac + 4","Management","Gestión","Direction","1","0","4308 Sand Pointe Lane","","612-555-0141","2013-01-13","2-5 Miles"
"11089","337","AW00011089","","Abigail","M","Price","0","1962-08-05","S","","F","abigail25@adventure-works.com","80000.0000","2","1","Bachelors","Licenciatura","Bac + 4","Management","Gestión","Direction","1","1","2685 Blackburn Ct","","532-555-0117","2012-12-29","2-5 Miles"
"11090","338","AW00011090","","Trevor","","Bryant","0","1968-12-13","S","","M","trevor18@adventure-works.com","90000.0000","2","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Professional","Profesional","Cadre","1","1","5781 Sharon Dr.","","853-555-0174","2011-08-07","2-5 Miles"
"11091","50","AW00011091","","Dalton","","Perez","0","1962-10-02","M","","M","dalton37@adventure-works.com","90000.0000","2","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Professional","Profesional","Cadre","1","1","6083 San Jose","","559-555-0115","2013-01-29","5-10 Miles"
"11092","22","AW00011092","","Cheryl","A","Diaz","0","1972-11-02","M","","F","cheryl4@adventure-works.com","90000.0000","2","2","Bachelors","Licenciatura","Bac + 4","Professional","Profesional","Cadre","1","0","7297 Kaywood Drive","","1 (11) 500 555-0192","2011-04-08","1-2 Miles"
"11093","19","AW00011093","","Aimee","A","He","0","1978-09-06","M","","F","aimee13@adventure-works.com","100000.0000","0","0","Graduate Degree","Estudios de postgrado","Bac + 3","Management","Gestión","Direction","1","0","1833 Olympic Drive","","1 (11) 500 555-0161","2011-04-07","0-1 Miles"
